Product,1999_1st_quarter,1999_2nd_quarter,1999_3rd_quarter,1999_4th_quarter,2000_1st_quarter,2000_2nd_quarter,2000_3rd_quarter,2000_4th_quarter,2001_1st_quarter,2001_2nd_quarter,2001_3rd_quarter,2001_4th_quarter,2002_1st_quarter,2002_2nd_quarter,2002_3rd_quarter,2002_4th_quarter,2003_1st_quarter,2003_2nd_quarter,2003_3rd_quarter,2003_4th_quarter,2004_1st_quarter,2004_2nd_quarter,2004_3rd_quarter,2004_4th_quarter,2005_1st_quarter,2005_2nd_quarter,2005_3rd_quarter,2005_4th_quarter,2006_1st_quarter,2006_2nd_quarter,2006_3rd_quarter,2006_4th_quarter,2007_1st_quarter,2007_2nd_quarter,2007_3rd_quarter,2007_4th_quarter,2008_1st_quarter,2008_2nd_quarter,2008_3rd_quarter,2008_4th_quarter,2009_1st_quarter,2009_2nd_quarter,2009_3rd_quarter,2009_4th_quarter,2010_1st_quarter,2010_2nd_quarter,2010_3rd_quarter,2010_4th_quarter,2011_1st_quarter,2011_2nd_quarter,2011_3rd_quarter,2011_4th_quarter,2012_1st_quarter,2012_2nd_quarter,2012_3rd_quarter,2012_4th_quarter,2013_1st_quarter,2013_2nd_quarter,2013_3rd_quarter,2013_4th_quarter,2014_1st_quarter,2014_2nd_quarter,2014_3rd_quarter,2014_4th_quarter,2015_1st_quarter,2015_2nd_quarter,2015_3rd_quarter,2015_4th_quarter,2016_1st_quarter,2016_2nd_quarter,2016_3rd_quarter,2016_4th_quarter,2017_1st_quarter,2017_2nd_quarter,2017_3rd_quarter,2017_4th_quarter,2018_1st_quarter,2018_2nd_quarter,2018_3rd_quarter,2018_4th_quarter,2019_1st_quarter,2019_2nd_quarter,2019_3rd_quarter,2019_4th_quarter,2020_1st_quarter,2020_2nd_quarter,2020_3rd_quarter,2020_4th_quarter,2021_1st_quarter,2021_2nd_quarter,20213rd_quarter,2021_4th_quarter,20221st_quarter,2022_2nd_quarter,2022_3nd_quarter_[provisional],processed_at
Indigenous production [note 2],34382.56,33060.35,34314.67,35341.42,34217.37,30802.13,30427.07,30798.43,29196.34,28340.07,28328.32,30813.65,29652.43,29527.45,26481.83,30282.55,28679.69,26025.5,24957.81,26409.93,25434.13,24345.24,22078.37,23516.04,22714.08,21989.98,19307.51,20709.57,20878.21,19151.3,17266.06,19282.27,19967.65,19744.77,17398.73,19463.94,18794.86,18615.57,16299.55,18078.86,18267.73,17976.12,14936.37,17018.32,17197.33,15984.51,14184.81,15594.96,14484.67,13422.62,11116.55,12948.59,12603.85,11811.68,9751.07,10394.2,10718.11,10496.19,9218.7,10667.8,11163.92,10357.87,8295.7,10510.27,10835.63,12141.02,10515.01,12206.46,12715.78,12209.88,11376.66,11569.76,12126.83,11961.45,11324.38,11636.63,12851.32,13498.96,11650.46,13549.99,13880.29,13159.31,12561.96,13254.64,13241.32,13024.81,11092.15,12003.22,11698.39,8880.0,10269.05,10311.62,10410.78,9707.34,8624.07,2023-02-16 12:29:55
Crude oil,32030.9,31037.14,32261.61,32932.35,31815.8,28759.57,28539.06,28768.06,27027.79,26324.55,26405.8,28628.42,27460.58,27490.19,24534.03,27945.39,26339.36,23968.4,23103.24,24423.92,23314.6,22319.4,20375.6,21506.6,20545.93,20071.16,17662.68,18898.74,19027.86,17389.96,15762.81,17484.01,18177.59,18143.96,16217.29,17818.19,16978.67,16970.26,15049.23,16498.6,16757.58,16502.33,13869.81,15690.34,15815.98,14677.13,13106.1,14447.39,13503.76,12527.59,10444.87,12094.85,11763.83,11111.0,9361.18,9816.39,10006.35,9728.7,8646.83,10074.48,10368.89,9634.48,7691.62,9779.28,10162.61,11363.61,9895.32,11404.34,11815.93,11347.39,10559.62,10582.91,11100.11,10917.78,10459.65,10707.13,11865.41,12562.13,10794.2,12626.57,12928.6,12264.69,11755.37,12395.44,12305.01,12062.68,10288.63,11001.75,10831.66,8367.86,9531.72,9507.28,9592.35,8926.87,7878.01,2023-02-16 12:29:55
NGLs [note 3],2351.66,2023.21,2053.06,2409.07,2401.57,2042.56,1888.01,2030.37,2168.55,2015.53,1922.52,2185.23,2191.85,2037.25,1947.79,2337.16,2340.33,2057.1,1854.57,1986.01,2119.53,2025.84,1702.77,2009.44,2168.15,1918.81,1644.83,1810.83,1850.36,1761.33,1503.25,1798.26,1790.06,1600.81,1181.45,1645.75,1816.19,1645.32,1250.32,1580.25,1510.16,1473.79,1066.56,1327.98,1381.35,1307.38,1078.71,1147.57,980.91,895.03,671.68,853.74,840.03,700.68,389.89,577.82,594.12,668.25,461.27,466.4,683.32,643.95,502.94,623.45,577.09,689.06,507.55,688.14,783.68,757.42,717.04,880.6,911.01,940.38,764.35,829.93,885.81,838.06,757.51,857.85,848.43,823.77,706.37,765.7,817.92,885.86,735.05,888.35,781.19,440.47,668.89,734.65,743.35,711.27,670.85,2023-02-16 12:29:55
Feedstocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.65,99.25,110.59,126.92,111.71,79.44,101.14,107.54,95.92,88.35,112.14,113.97,116.17,105.07,99.99,106.25,115.72,103.29,100.38,99.58,100.1,98.77,98.75,65.57,103.25,70.85,100.22,93.49,118.39,76.27,68.46,113.12,85.53,71.66,68.45,69.69,75.08,69.19,75.22,2023-02-16 12:29:55
Imports [note 4],10086.68,10889.88,11828.64,12063.8,13161.13,13623.23,14267.78,13334.15,12485.16,11532.77,14419.66,15113.84,13947.62,17235.98,13317.76,12466.56,13604.71,12997.09,14235.32,13340.21,14963.47,15665.53,16439.68,15447.55,13693.84,15796.26,15551.58,13843.46,14157.74,15490.02,15413.99,14381.4,12861.29,13635.38,16288.33,14571.74,14074.2,15615.04,16002.17,14643.46,13303.79,13486.32,14630.91,13581.25,12555.09,14734.4,13659.78,14114.73,14088.54,13887.91,15296.26,14819.59,15574.9,16203.91,15078.08,13618.82,14510.54,16344.48,15145.4,12966.32,13017.95,12481.25,13963.97,14174.37,12037.06,12034.81,12979.05,13548.09,11478.57,11846.32,12328.09,13136.07,12476.31,13703.33,13990.96,13120.2,11280.55,13303.83,13696.2,14002.36,12977.07,13055.67,12455.19,13060.99,11675.15,7850.43,9821.8,10226.07,7325.61,10824.41,11317.47,12303.17,11980.0,11299.0,12013.0,2023-02-16 12:29:55
Crude oil & NGLs,8937.42,9397.88,10350.26,10635.45,11813.79,11981.42,12900.9,12171.58,11638.03,10597.78,12922.38,13834.09,13091.31,15936.11,11743.78,11270.34,12247.22,11393.84,12883.1,12064.76,13357.12,14064.01,14445.68,13990.72,12468.67,13896.03,13655.79,12190.0,12385.74,13336.78,13656.53,12067.33,11315.07,11465.43,14161.54,13208.55,11868.76,13539.34,14033.99,12966.83,11557.27,11811.48,12674.32,12188.33,11192.18,13086.98,12047.38,12104.31,12110.47,12195.84,13298.01,13349.36,14089.86,14629.47,13822.64,12798.3,12880.13,14773.1,13532.9,11283.77,11618.87,11339.56,12830.99,13100.73,10952.44,10931.07,11395.85,12001.45,9840.92,10172.4,10673.66,11718.82,10989.57,11720.03,12385.59,11528.41,9651.92,11747.7,11865.68,12384.95,11349.54,11533.44,10888.67,11841.71,11180.48,7345.38,9072.45,9366.94,6593.28,9806.12,10392.22,11308.46,10930.0,10393.0,11242.0,2023-02-16 12:29:55
Feedstocks,1149.26,1492.01,1478.38,1428.35,1347.34,1641.81,1366.89,1162.57,847.14,934.99,1497.28,1279.76,856.31,1299.87,1573.99,1196.22,1357.49,1603.25,1352.22,1275.45,1606.35,1601.52,1994.0,1456.84,1225.16,1900.23,1895.79,1653.46,1772.0,2153.24,1757.46,2314.08,1546.22,2169.94,2126.78,1363.19,2205.44,2075.7,1968.18,1676.62,1746.52,1674.84,1956.59,1392.92,1362.91,1647.42,1612.41,2010.43,1978.07,1692.07,1998.26,1470.23,1485.04,1574.44,1255.43,820.52,1630.41,1571.38,1612.5,1682.56,1399.08,1141.69,1132.99,1073.64,1084.61,1103.74,1583.2,1546.64,1637.65,1673.92,1654.44,1417.25,1486.74,1983.31,1605.37,1591.8,1628.62,1556.13,1830.51,1617.41,1627.54,1522.23,1566.51,1219.27,494.67,505.05,749.35,859.13,732.34,1018.29,925.24,994.71,1050.0,906.0,771.0,2023-02-16 12:29:55
Exports [note 4],20743.41,21341.24,24225.48,25486.88,24609.94,23894.54,22303.95,22108.75,20832.07,22302.89,20889.8,22904.98,22465.06,24548.13,18303.46,21827.07,20280.84,17415.24,18839.42,18362.26,17758.24,16618.97,15075.18,15051.62,14553.09,15342.83,11405.72,12797.08,13835.97,13094.5,11350.59,11913.57,12254.08,12580.49,12698.73,13466.06,12258.07,12343.31,11181.22,12452.76,11173.68,12611.71,9824.91,11740.44,11448.98,11133.12,8708.25,10773.8,9239.46,8279.08,7039.58,9066.56,7926.96,7976.63,7135.95,7906.69,8685.58,8649.4,7452.04,8318.14,8001.18,7446.45,6906.21,8515.06,8095.88,9309.1,7908.26,8396.19,10089.94,7976.12,8224.57,8565.15,9823.55,9692.3,9635.82,9167.17,10868.01,11376.53,10113.04,12150.33,11186.95,12007.39,11047.16,10697.88,10680.12,9949.32,9645.11,9640.17,9094.6,7423.21,8346.77,8985.82,8592.0,7352.0,6633.0,2023-02-16 12:29:55
Crude Oil & NGLs,19890.75,20758.26,23590.02,24682.97,23952.26,23224.01,21607.51,21297.59,20110.32,21644.5,20386.36,22299.56,22074.49,23968.83,17690.09,21294.69,19719.96,16785.91,18151.69,17868.63,17373.73,16387.45,14793.61,14858.07,14045.36,15036.48,10901.45,12123.62,13259.96,12270.84,10770.99,11249.65,11469.77,11876.46,11919.8,12446.62,11402.23,11502.0,10058.33,11414.86,10437.23,12014.53,8723.09,10534.81,10749.41,10310.06,8005.57,10042.11,8276.96,7335.91,5968.44,8135.08,7595.11,7739.52,6792.28,7699.4,8289.61,8287.02,7028.12,8064.92,7780.47,7164.18,6633.57,8231.12,7611.76,8846.27,7278.66,8083.13,9459.82,7543.5,7930.83,8312.42,9470.19,9366.91,9194.89,8830.75,10625.92,10900.93,9666.29,11388.98,10860.25,11462.9,10368.97,10150.53,10030.98,9462.24,9408.09,9444.67,8788.88,6881.27,7983.33,8400.65,8111.0,6857.0,6193.0,2023-02-16 12:29:55
Feedstocks,852.66,582.97,635.45,803.92,657.68,670.53,696.45,811.16,721.75,658.39,503.44,605.42,390.56,579.3,613.37,532.38,560.88,629.33,687.73,493.63,384.51,231.53,281.57,193.56,507.73,306.35,504.27,673.46,576.01,823.66,579.6,663.92,784.31,704.04,778.94,1019.44,855.83,841.31,1122.9,1037.91,736.45,597.18,1101.82,1205.63,699.58,823.06,702.68,731.69,962.51,943.17,1071.13,931.48,331.85,237.11,343.67,207.29,395.98,362.38,423.93,253.22,220.71,282.27,272.63,283.95,484.11,462.84,629.6,313.06,630.12,432.62,293.74,252.73,353.36,325.39,440.93,336.42,242.09,475.6,446.75,761.35,326.7,544.49,678.19,547.36,649.14,487.08,237.02,195.5,305.72,541.94,363.44,585.18,481.0,495.0,440.0,2023-02-16 12:29:55
Stock change [note 5],238.41,460.68,-427.93,-468.72,5.83,850.66,-264.86,506.39,-628.05,674.24,139.78,-800.3,389.16,-744.24,708.02,-210.33,-370.67,771.85,358.14,-290.11,-381.21,-335.41,254.59,328.76,-329.36,-376.13,-245.75,566.66,-593.46,9.54,897.72,-669.1,-850.3,896.77,777.42,-39.97,-599.37,-106.68,612.77,156.34,-165.62,478.44,31.21,201.31,-95.45,-553.42,184.01,425.85,-653.75,814.59,364.7,85.13,-196.83,-223.07,673.06,-739.55,555.45,-222.44,615.45,-224.48,-288.03,63.03,198.87,-565.7,-58.85,-384.1,970.49,-625.66,355.08,-492.45,95.31,-82.7,413.66,-93.66,191.42,-181.46,174.62,-930.78,800.59,94.35,-564.6,4.79,635.76,-166.82,-49.61,-422.12,608.22,25.76,136.73,-142.91,312.58,-158.78,34.44,392.15,-629.24,2023-02-16 12:29:55
Transfers [note 6],-369.87,-472.96,-207.64,-167.53,-76.22,48.68,-26.36,163.49,655.33,78.98,8.72,9.65,-427.3,-305.05,-453.17,-369.78,-307.76,-322.44,-51.82,-325.61,-984.33,-870.85,-759.17,-928.76,-637.18,-866.16,-584.26,-966.51,-577.08,-649.4,-571.66,-542.76,-645.43,-548.48,-543.48,-469.8,-821.8,-824.53,-573.26,-537.94,-623.64,-818.26,-636.46,-631.62,-568.83,-713.37,-531.05,-556.41,-567.47,-615.98,-566.4,-485.46,-637.78,-580.42,-277.65,-366.63,-520.73,-598.4,-506.87,-132.28,-353.96,-323.63,-306.11,-454.8,-99.6,-381.67,-225.07,-445.39,-234.84,-313.79,-208.4,-480.21,-609.32,-582.09,-435.83,-460.87,-252.94,-326.97,-339.68,154.71,-395.7,-281.65,287.18,226.32,-129.68,-281.35,-233.35,-304.92,-258.96,160.91,-270.0,-53.53,-87.11,-204.03,-80.56,2023-02-16 12:29:55
Total supply,23594.36,22596.71,21282.27,21282.08,22698.17,21430.16,22099.67,22693.7,20876.72,18323.17,22006.67,22231.87,21096.85,21166.01,21750.98,20341.92,21325.13,22056.77,20660.02,20772.16,21273.83,22185.54,22938.29,23311.98,20888.28,21201.12,22623.36,21356.1,20029.44,20906.96,21655.53,20538.24,19079.13,21147.94,21222.27,20059.85,19189.82,20956.1,21160.0,19887.95,19608.58,18510.91,19137.12,18428.82,17639.15,18319.0,18789.3,18805.34,18112.53,19230.05,19171.54,18301.28,19417.18,19235.47,18088.61,15000.16,16577.79,17370.44,17020.63,14959.22,15538.69,15132.07,15246.23,15149.07,14618.36,14100.96,16331.22,16287.31,14224.64,15273.85,15367.08,15577.77,14583.93,15296.72,15435.11,14947.34,13185.53,14168.51,15694.53,15651.07,14710.11,13930.73,14892.93,15677.24,14057.06,10222.46,11643.71,12309.96,9807.17,12299.19,13282.33,13416.65,13746.11,13842.46,13294.27,2023-02-16 12:29:55
Statistical difference [note 7],843.9,495.41,-269.16,-923.72,391.0,-167.68,186.46,204.67,199.8,260.94,-66.95,-298.2,-38.76,256.14,-61.22,-584.31,-136.12,324.75,99.6,-59.17,-140.4,-31.04,-67.43,127.91,-90.0,202.92,12.45,-190.76,-83.22,-75.3,41.14,34.44,-192.92,41.61,180.32,2.96,-321.65,223.78,260.62,-2.49,-112.85,184.82,-95.25,158.15,68.57,-37.96,-101.65,80.98,-93.5,-71.53,-225.38,125.54,-35.12,96.72,-104.87,-54.42,-93.22,-21.47,51.14,19.73,21.49,-2.42,-24.01,8.45,-14.68,-1.59,-16.03,-20.67,3.25,33.65,-4.65,15.64,-7.17,15.0,27.25,-28.57,7.1,-2.27,4.22,-6.65,-0.11,3.8,-38.08,-8.09,-11.76,7.24,1.87,3.23,-4.77,-0.57,6.26,10.22,7.49,-18.93,-89.44,2023-02-16 12:29:55
Total demand ,22750.47,22101.3,21551.43,22205.8,22307.17,21597.85,21913.21,22489.03,20676.92,18062.23,22073.61,22530.07,21135.61,20909.86,21812.2,20926.24,21461.25,21732.01,20560.42,20831.33,21414.23,22216.58,23005.72,23184.06,20978.29,20998.2,22610.92,21546.85,20112.67,20982.26,21614.39,20503.8,19272.05,21106.33,21041.95,20056.89,19511.47,20732.31,20899.38,19890.43,19721.43,18326.09,19232.37,18270.67,17570.58,18356.95,18890.95,18724.36,18206.03,19301.58,19396.92,18175.74,19452.3,19138.75,18193.48,15054.59,16671.01,17391.91,16969.49,14939.49,15517.21,15134.49,15270.23,15140.62,14633.03,14102.55,16347.25,16307.98,14221.39,15240.19,15371.73,15562.13,14591.1,15281.72,15407.86,14975.92,13178.44,14170.78,15690.31,15657.73,14710.22,13926.94,14931.01,15685.33,14068.82,10215.22,11641.84,12306.73,9811.94,12299.76,13276.06,13406.43,13738.63,13861.39,13383.71,2023-02-16 12:29:55
Transformation,22666.66,22020.28,21474.62,22124.44,22225.17,21522.85,21845.21,22420.03,20676.92,18062.23,22073.61,22530.07,21135.61,20909.86,21812.2,20926.24,21461.25,21732.01,20560.42,20831.33,21414.23,22216.58,23005.72,23184.06,20978.29,20998.2,22610.92,21546.85,20112.67,20982.26,21614.39,20503.8,19272.05,21106.33,21041.95,20056.89,19511.47,20732.31,20899.38,19890.43,19721.43,18326.09,19232.37,18270.67,17570.58,18356.95,18890.95,18724.36,18206.03,19301.58,19396.92,18175.74,19452.3,19138.75,18193.48,15054.59,16671.01,17391.91,16969.49,14939.49,15517.21,15134.49,15270.23,15140.62,14633.03,14102.55,16347.25,16307.98,14221.39,15240.19,15371.73,15562.13,14591.1,15281.72,15407.86,14975.92,13178.44,14170.78,15690.31,15657.73,14710.22,13926.94,14931.01,15685.33,14068.82,10215.22,11641.84,12306.73,9811.94,12299.76,13276.06,13406.43,13738.63,13861.39,13383.71,2023-02-16 12:29:55
Petroleum refineries,22666.66,22020.28,21474.62,22124.44,22225.17,21522.85,21845.21,22420.03,20676.92,18062.23,22073.61,22530.07,21135.61,20909.86,21812.2,20926.24,21461.25,21732.01,20560.42,20831.33,21414.23,22216.58,23005.72,23184.06,20978.29,20998.2,22610.92,21546.85,20112.67,20982.26,21614.39,20503.8,19272.05,21106.33,21041.95,20056.89,19511.47,20732.31,20899.38,19890.43,19721.43,18326.09,19232.37,18270.67,17570.58,18356.95,18890.95,18724.36,18206.03,19301.58,19396.92,18175.74,19452.3,19138.75,18193.48,15054.59,16671.01,17391.91,16969.49,14939.49,15517.21,15134.49,15270.23,15140.62,14633.03,14102.55,16347.25,16307.98,14221.39,15240.19,15371.73,15562.13,14591.1,15281.72,15407.86,14975.92,13178.44,14170.78,15690.31,15657.73,14710.22,13926.94,14931.01,15685.33,14068.82,10215.22,11641.84,12306.73,9811.94,12299.76,13276.06,13406.43,13738.63,13861.39,13383.71,2023-02-16 12:29:55
Energy industry use,83.81,81.02,76.81,81.36,82.0,75.0,68.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-02-16 12:29:55
Oil & gas extraction,83.81,81.02,76.81,81.36,82.0,75.0,68.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-02-16 12:29:55
